Year,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 1997-98,47700,83500,1.75,15.9,49.2,197.5,199,92.7,91.61,798
 1998-99,70700,172100,2.43,15.6,53.3,230,289.4,211.5,221.6,1048.8
 1999-00,78489,159097,2.03,89.8,61.6,167.1,148.4,165.6,63.5,706.5
 2000-01,85328,214003,2.51,60.2,227.8,150,478.2,65.6,24.6,1034.2
 2001-02,76008,190704,2.51,4.4,226.9,58.3,237,101.7,141,835.1
 2002-03,59589,125852,2.11,49.5,185.4,71,208.8,66.7,90.6,707.2
 2003-04,63923,164218,2.57,19.1,165.2,124.4,142.5,260.4,14.1,759
 2004-05,49327,95546,1.94,14.6,49.5,301.7,101.4,80.5,51.7,654.8
 2005-06,59452,171519,2.88,0,65.4,401.7,110.5,303,168.3,1188.7
 2006-07,63532,166136,2.61,86.5,113.6,119.7,286.8,201.5,22.6,961.2
 2007-08,58000,164000,2.83,19.1,165.2,124.4,142.5,260.4,14.1,745.8
 2008-09,78658,206477,2.62,21,61.1,130.6,356.6,146.7,19.1,969.3
 2009-10,49470,133272,2.69,21,52.3,64.3,157.6,142.7,41.2,504.1
 2010-11,81914,285893,3.49,5.3,83.8,337,269.9,199.6,95.2,1038.4
 2011-12,90400,285575,3.16,23,57.8,98.3,125.6,30.8,27.9,694.8
 2012-13,76000,270000,3.55,35.6,170,224,132,127.6,82.9,843
 2013-14,108639,393985,3.63,13.2,135.3,348.5,130.5,179.6,178,1008.1
 2014-15,73983,234342,3.17,52.2,30.7,104,143.6,52.2,23.7,512.1
 2015-16,61512,174884,2.84,19.2,105,40.9,100.2,109.7,27.3,509
 2016-17,31715,97175,3.06,41.8,104.9,230.2,73,499.1,93.6,1045.6
