District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 WEST GODAVARI, 1997-98,Kharif     ,247200,630400,2.55,3.6,59.6,227.5,133.6,430.6,95.4,1188.8
 WEST GODAVARI, 1998-99,Kharif     ,262000,646400,2.47,8.6,86.8,169.9,175.4,214.2,260.9,1029.9
 WEST GODAVARI, 1999-00,Kharif     ,267083,685440,2.57,56.8,86.6,167.3,120,120.3,137.7,695.12
 WEST GODAVARI, 2000-01,Kharif     ,272901,794415,2.91,71.1,311.6,204.9,381.6,146.1,75,1254.9
 WEST GODAVARI, 2001-02,Kharif     ,222720,576622,2.59,95.5,118.7,76.9,248.9,136,183.1,962.2
 WEST GODAVARI, 2002-03,Kharif     ,214554,659110,3.07,29.2,92.3,68.6,220.3,42,210.6,748.5
 WEST GODAVARI, 2003-04,Kharif     ,232235,812590,3.5,,,,,,,
 WEST GODAVARI, 2004-05,Kharif     ,244235,842122,3.45,64.4,105.3,172.4,191.9,117.7,169.6,833
 WEST GODAVARI, 2005-06,Kharif     ,253521,475859,1.88,91.4,126,167.8,143,363.5,283.3,1212.6
 WEST GODAVARI, 2006-07,Kharif     ,245236,682001,2.78,38.3,127.7,97.5,243.8,260.5,242.9,1092.7
 WEST GODAVARI, 2007-08,Kharif     ,254000,825000,3.25,20.4,220.6,170.7,263.5,219.1,181.5,1139
 WEST GODAVARI, 2008-09,Kharif     ,255444,778593,3.05,6.2,129.9,289.3,384.1,122.4,43.4,1234.1
 WEST GODAVARI, 2009-10,Kharif     ,212887,660163,3.1,53.3,23.9,157.9,135.8,197.9,51.5,753.1
 WEST GODAVARI, 2010-11,Kharif     ,256147,558800,2.18,170.1,177.1,373.6,316.9,266.4,206.2,1900.7
 WEST GODAVARI, 2011-12,Kharif     ,240266,764242,3.18,26.3,38,68.6,80.7,75,55,
 WEST GODAVARI, 2012-13,Kharif     ,243000,483000,1.99,36.1,108,292.9,369.7,271.3,217.5,1611.9
 WEST GODAVARI, 2013-14,Kharif     ,240396,521419,2.17,9.6,107.6,217.4,102.2,123.6,345.6,1006.1
 WEST GODAVARI, 2014-15,Kharif     ,231475,733313,3.17,127.8,17.3,257,160.9,202.5,72.7,861.1
 WEST GODAVARI, 2015-16,Kharif     ,229204,727885,3.18,33.3,278.3,125.6,243.5,179.7,90.5,1054
 WEST GODAVARI, 2016-17,Kharif     ,230785,820044,3.55,101.4,333.3,173.1,162.1,315.6,46,1148.7
